""	"BS.S4.vs.M.S4"	"BS.S9.vs.M.S9"	"BS.S14.vs.M.S14"
"AC185436.3_FG005"	0	0	0
"AC185438.2_FG001"	0	0	0
"AC185442.3_FG002"	0	0	0
"AC185443.3_FG004"	0	0	-2.67434797900699
"AC185445.3_FG001"	0	0	0
"AC185448.2_FG005"	0	-1.70751405837224	0
"AC185449.3_FG006"	0	0	0
"AC185453.3_FG002"	0	0	0
"AC185455.3_FG001"	0	0	0
"AC185458.4_FG003"	0	0	0
"AC185460.3_FG004"	0	0	0
"AC185464.3_FG001"	0	1.7042837093729	0
"AC185464.3_FG003"	0	0	0
"AC185466.3_FG001"	3.09058468376279	0	0
"AC185467.3_FG001"	0	0	0
"AC185468.3_FG002"	0	0	0
"AC185468.3_FG003"	0	0	-2.67434797900699
"AC185471.3_FG005"	-1.35817158992309	0	3.51449682357986
"AC185473.3_FG005"	0	0	0
"AC185474.3_FG005"	0	0	0
"AC185474.3_FG009"	0	0	0
"AC185475.3_FG001"	-1.0471793770987	1.6231212951353	3.60969692030615
"AC185478.4_FG004"	0	0	0
"AC185478.4_FG005"	0	0	0
"AC185478.4_FG007"	0	0	0
"AC185479.3_FG006"	0.152748287804928	1.60221758945622	-2.67910655981922
"AC185481.5_FG001"	0	1.7042837093729	0
"AC185482.3_FG001"	0	0	0
"AC185487.4_FG001"	0	0	0
"AC185487.4_FG003"	0	0	0
"AC185489.3_FG001"	0	0	0
"AC185489.3_FG002"	0	0	0
"AC185490.4_FG001"	0	1.72457419206718	0
"AC185492.2_FG005"	0	0	0
"AC185498.3_FG007"	0	0	0
"AC185500.3_FG001"	-0.171458841047502	-1.4481390243363	-2.84516079453382
"AC185500.3_FG004"	0	0	0
"AC185500.3_FG005"	0	0	0
"AC185501.3_FG001"	0	0	0
"AC185501.3_FG006"	-3.23403980220422	1.70410967828331	0
"AC185504.4_FG001"	0	0	0
"AC185504.4_FG002"	0	-1.70751405837224	0
"AC185504.4_FG006"	0	0	0
"AC185504.4_FG008"	0	0	0
"AC185504.4_FG009"	0	1.7042837093729	0
"AC185510.3_FG001"	0	0	0
"AC185514.3_FG007"	0	1.72457419206718	0
"AC185519.3_FG002"	0	0	0
"AC185522.2_FG001"	0	0	0
"AC185522.2_FG002"	-0.17898028122979	0	2.63840527592061
"AC185530.2_FG003"	-3.23429426976482	0	0
"AC185530.2_FG004"	0	0	0
"AC185530.2_FG005"	0	0	0
"AC185531.2_FG001"	0	0	0
"AC185586.4_FG003"	0	0	0
"AC185587.3_FG003"	0	0	0
"AC185588.2_FG002"	0	0	-2.6921079684355
"AC185588.2_FG008"	0	0	0
"AC185591.4_FG017"	0	0	0
"AC185593.3_FG002"	0	0	0
"AC185593.3_FG003"	0	0	-4.79031862821961
"AC185596.3_FG014"	0	0	0
"AC185601.3_FG007"	0	0	0
"AC185601.3_FG008"	0	0	0
"AC185602.3_FG004"	0	0	0
"AC185603.4_FG007"	0	0	0
"AC185604.3_FG002"	0	0	0
"AC185605.3_FG003"	0	0	0
"AC185605.3_FG004"	0	0	0
"AC185606.2_FG003"	0	0	0
"AC185608.3_FG001"	0	0	0
"AC185610.3_FG001"	0	0	0
"AC185610.3_FG003"	0	1.72457419206718	0
"AC185611.3_FG001"	0	0	0
"AC185611.3_FG004"	0	0	0
"AC185612.3_FG002"	0	-1.71659708450271	0
"AC185612.3_FG006"	0	0	0
"AC185619.4_FG005"	0	0	0
"AC185623.4_FG010"	0	0	0
"AC185623.4_FG012"	3.09058468376279	0	0
"AC185625.4_FG004"	0	0	0
"AC185628.3_FG010"	0	0	0
"AC185630.3_FG002"	0	0	0
"AC185631.4_FG001"	0	0	0
"AC185632.3_FG001"	0	0	0
"AC185642.4_FG001"	0	0	0
"AC185642.4_FG006"	0	1.7042837093729	0
"AC185645.4_FG006"	0	0	0
"AC185648.3_FG001"	0	0	0
"AC185648.3_FG007"	0	0	0
"AC185649.2_FG003"	0	0	0
"AC185651.3_FG005"	0	0	0
"AC185654.3_FG006"	5.00432055259916	1.07155049967798	2.73643499750339
"AC185655.3_FG004"	0	0	0
"AC185655.3_FG005"	0	1.72457419206718	0
"AC185655.3_FG008"	0	0	0
"AC185655.3_FG010"	0	1.7042837093729	0
"AC185656.3_FG002"	0	0	0
"AC185660.3_FG003"	0	0	0
"AC185662.2_FG003"	0	0	0
"AC185665.3_FG004"	0	0	0
"AC185665.3_FG008"	0	0	0
