""	"BS.S5.vs.M.S5"	"BS.S4.vs.M.S4"	"BS.S3.vs.M.S3"	"BS.S2.vs.M.S2"	"BS.S1.vs.M.S1"
"AC185314.4_FG008"	1	1	1	0.840982438127983	1
"AC185321.3_FG003"	1	1	1	1	1
"AC185322.3_FG008"	1	1	1	1	1
"AC185322.3_FG010"	1	1	1	1	1
"AC185322.3_FG011"	1	1	1	0.840982438127983	1
"AC185323.3_FG001"	1	1	1	1	1
"AC185323.3_FG002"	1	1	1	1	1
"AC185411.3_FG003"	1	1	1	1	1
"AC185413.3_FG002"	1	1	1	1	1
"AC185413.3_FG005"	1	1	1	1	1
"AC185414.3_FG002"	1	1	1	1	1
"AC185414.3_FG003"	1	1	1	1	1
"AC185415.3_FG005"	1	1	1	0.913049107078835	1
"AC185418.3_FG006"	1	1	1	1	1
"AC185418.3_FG007"	1	1	1	1	1
"AC185421.3_FG003"	1	1	1	1	1
"AC185421.3_FG005"	1	1	1	1	1
"AC185422.3_FG005"	1	0.900223405240427	1	0.828302910018826	0.322886508106262
"AC185427.5_FG001"	1	1	1	1	1
"AC185427.5_FG004"	0.888198330962611	1	1	1	0.849526455976167
"AC185429.3_FG005"	1	1	1	1	1
"AC185430.3_FG003"	1	1	0.960518481274296	0.57306479001357	1
"AC185434.4_FG004"	1	1	1	1	1
"AC185436.3_FG004"	0.803280522067505	1	1	1	0.868569116798793
"AC185436.3_FG005"	1	1	1	1	1
"AC185438.2_FG001"	1	1	1	1	1
"AC185442.3_FG002"	1	1	1	0.800200472074798	1
"AC185443.3_FG004"	1	1	1	1	1
"AC185445.3_FG001"	1	1	1	1	1
"AC185448.2_FG005"	1	1	1	1	1
"AC185449.3_FG006"	1	1	1	1	1
"AC185453.3_FG002"	1	1	1	1	1
"AC185455.3_FG001"	1	1	1	1	1
"AC185458.4_FG003"	1	1	1	1	1
"AC185460.3_FG004"	1	1	1	0.916249038547472	1
"AC185464.3_FG001"	1	1	1	1	1
"AC185464.3_FG003"	1	0.922892688667705	1	0.873432853187343	1
"AC185466.3_FG001"	1	0.993432868911904	1	0.840982438127983	1
"AC185467.3_FG001"	1	1	1	1	1
"AC185468.3_FG002"	1	1	1	0.410244933935142	1
"AC185468.3_FG003"	1	1	1	0.770931934468083	1
"AC185471.3_FG005"	1	0.943775936675654	1	0.743945824841416	1
"AC185473.3_FG005"	1	1	1	1	1
